status,gameweek,seasonId,dateutc,winner,venue,wyId,label,duration,competitionId,team1.side,team1.teamId,team1.score,team2.side,team2.teamId,team2.score
Played,33,181189,2018-04-14 18:00:00,0,Stade Pierre-Mauroy,2501008,"Lille - Guingamp, 2 - 2",Regular,412,home,3776,2,away,3785,2
Played,33,181189,2018-04-14 18:00:00,0,Stade de la Beaujoire - Louis Fonteneau,2501011,"Nantes - Dijon, 1 - 1",Regular,412,away,3804,1,home,3770,1
Played,33,181189,2018-04-14 18:00:00,3777,Roazhon Park,2501013,"Rennes - Metz, 1 - 2",Regular,412,away,3777,2,home,3774,1
Played,33,181189,2018-04-14 18:00:00,3782,Stade de la Meinau,2501014,"Strasbourg - Saint-\u00c9tienne, 0 - 1",Regular,412,home,3779,0,away,3782,1
Played,33,181189,2018-04-14 15:00:00,3766,Groupama Stadium,2501009,"Olympique Lyonnais - Amiens SC, 3 - 0",Regular,412,home,3766,3,away,3789,0
Played,33,181189,2018-04-13 18:45:00,0,Stade Raymond Kopa,2501006,"Angers SCO - Nice, 1 - 1",Regular,412,home,3799,1,away,3775,1
Played,32,181189,2018-04-08 19:00:00,0,Stade V\u00e9lodrome,2501000,"Olympique Marseille - Montpellier, 0 - 0",Regular,412,home,3771,0,away,3787,0
Played,32,181189,2018-04-08 15:00:00,3766,Stade Saint-Symphorien,2501001,"Metz - Olympique Lyonnais, 0 - 5",Regular,412,away,3766,5,home,3777,0
Played,32,181189,2018-04-08 13:00:00,0,Allianz Riviera,2501003,"Nice - Rennes, 1 - 1",Regular,412,home,3775,1,away,3774,1
Played,32,181189,2018-04-07 18:00:00,3789,Stade de la Licorne,2500996,"Amiens SC - Caen, 3 - 0",Regular,412,away,3783,0,home,3789,3
Played,32,181189,2018-04-07 18:00:00,0,Stade Raymond Kopa,2500997,"Angers SCO - Strasbourg, 1 - 1",Regular,412,home,3799,1,away,3779,1
Played,32,181189,2018-04-07 18:00:00,3772,Stade Matmut-Atlantique,2500998,"Bordeaux - Lille, 2 - 1",Regular,412,home,3772,2,away,3776,1
Played,32,181189,2018-04-07 18:00:00,3785,Stade du Roudourou,2500999,"Guingamp - Troyes, 4 - 0",Regular,412,home,3785,4,away,3795,0
Played,32,181189,2018-04-07 18:00:00,3804,Stadium Municipal,2501005,"Toulouse - Dijon, 0 - 1",Regular,412,away,3804,1,home,3780,0
Played,32,181189,2018-04-07 15:00:00,19830,Stade Louis II.,2501002,"Monaco - Nantes, 2 - 1",Regular,412,away,3770,1,home,19830,2
Played,32,181189,2018-04-06 18:45:00,0,Stade Geoffroy-Guichard,2501004,"Saint-\u00c9tienne - PSG, 1 - 1",Regular,412,away,3767,1,home,3782,1
Played,31,181189,2018-04-04 16:45:00,0,Roazhon Park,2500993,"Rennes - Monaco, 1 - 1",Regular,412,home,3774,1,away,19830,1
Played,31,181189,2018-04-01 19:00:00,3766,Groupama Stadium,2500990,"Olympique Lyonnais - Toulouse, 2 - 0",Regular,412,home,3766,2,away,3780,0
Played,31,181189,2018-04-01 15:00:00,3787,Stade Michel d'Ornano,2500986,"Caen - Montpellier, 1 - 3",Regular,412,home,3783,1,away,3787,3
Played,31,181189,2018-04-01 15:00:00,3789,Stade Pierre-Mauroy,2500989,"Lille - Amiens SC, 0 - 1",Regular,412,away,3789,1,home,3776,0
Played,31,181189,2018-04-01 15:00:00,3782,Stade de la Beaujoire - Louis Fonteneau,2500991,"Nantes - Saint-\u00c9tienne, 0 - 3",Regular,412,home,3770,0,away,3782,3
Played,31,181189,2018-04-01 15:00:00,0,Stade de la Meinau,2500994,"Strasbourg - Metz, 2 - 2",Regular,412,away,3777,2,home,3779,2
Played,31,181189,2018-04-01 15:00:00,3775,Stade de l'Aube,2500995,"Troyes - Nice, 0 - 2",Regular,412,away,3775,2,home,3795,0
Played,31,181189,2018-04-01 13:00:00,3785,Stade du Roudourou,2500988,"Guingamp - Bordeaux, 2 - 1",Regular,412,away,3772,1,home,3785,2
Played,31,181189,2018-03-31 15:00:00,3771,Stade Gaston-G\u00e9rard,2500987,"Dijon - Olympique Marseille, 1 - 3",Regular,412,home,3804,1,away,3771,3
Played,30,181189,2018-03-18 20:00:00,3766,Stade V\u00e9lodrome,2500979,"Olympique Marseille - Olympique Lyonnais, 2 - 3",Regular,412,away,3766,3,home,3771,2
Played,30,181189,2018-03-18 16:00:00,3782,Stade Geoffroy-Guichard,2500984,"Saint-\u00c9tienne - Guingamp, 2 - 0",Regular,412,home,3782,2,away,3785,0
Played,30,181189,2018-03-18 14:00:00,0,Stade Saint-Symphorien,2500980,"Metz - Nantes, 1 - 1",Regular,412,home,3777,1,away,3770,1
Played,30,181189,2018-03-18 12:00:00,3767,Allianz Riviera,2500983,"Nice - PSG, 1 - 2",Regular,412,away,3767,2,home,3775,1
Played,30,181189,2018-03-17 19:00:00,0,Stade de la Licorne,2500976,"Amiens SC - Troyes, 1 - 1",Regular,412,home,3789,1,away,3795,1
Played,30,181189,2018-03-17 19:00:00,3799,Stade Raymond Kopa,2500977,"Angers SCO - Caen, 3 - 0",Regular,412,away,3783,0,home,3799,3
Played,30,181189,2018-03-17 19:00:00,0,Stade de la Mosson,2500982,"Montpellier - Dijon, 2 - 2",Regular,412,away,3804,2,home,3787,2
Played,30,181189,2018-03-17 19:00:00,0,Stadium Municipal,2500985,"Toulouse - Strasbourg, 2 - 2",Regular,412,away,3779,2,home,3780,2
Played,30,181189,2018-03-17 16:00:00,3774,Stade Matmut-Atlantique,2500978,"Bordeaux - Rennes, 0 - 2",Regular,412,home,3772,0,away,3774,2
Played,30,181189,2018-03-16 19:45:00,19830,Stade Louis II.,2500981,"Monaco - Lille, 2 - 1",Regular,412,away,3776,1,home,19830,2
Played,31,181189,2018-03-14 16:00:00,3767,Parc des Princes,2500992,"PSG - Angers SCO, 2 - 1",Regular,412,home,3767,2,away,3799,1
Played,29,181189,2018-03-11 20:00:00,3771,Stadium Municipal,2500975,"Toulouse - Olympique Marseille, 1 - 2",Regular,412,away,3771,2,home,3780,1
Played,29,181189,2018-03-11 16:00:00,3766,Groupama Stadium,2500970,"Olympique Lyonnais - Caen, 1 - 0",Regular,412,away,3783,0,home,3766,1
Played,29,181189,2018-03-11 14:00:00,3775,Stade du Roudourou,2500968,"Guingamp - Nice, 2 - 5",Regular,412,away,3775,5,home,3785,2
Played,29,181189,2018-03-10 19:00:00,0,Stade Matmut-Atlantique,2500966,"Bordeaux - Angers SCO, 0 - 0",Regular,412,away,3799,0,home,3772,0
Played,29,181189,2018-03-10 19:00:00,0,Stade Gaston-G\u00e9rard,2500967,"Dijon - Amiens SC, 1 - 1",Regular,412,home,3804,1,away,3789,1
Played,29,181189,2018-03-10 19:00:00,0,Stade Pierre-Mauroy,2500969,"Lille - Montpellier, 1 - 1",Regular,412,away,3787,1,home,3776,1
Played,29,181189,2018-03-10 19:00:00,3770,Stade de la Beaujoire - Louis Fonteneau,2500971,"Nantes - Troyes, 1 - 0",Regular,412,home,3770,1,away,3795,0
Played,29,181189,2018-03-10 19:00:00,0,Roazhon Park,2500973,"Rennes - Saint-\u00c9tienne, 1 - 1",Regular,412,home,3774,1,away,3782,1
Played,29,181189,2018-03-10 16:00:00,3767,Parc des Princes,2500972,"PSG - Metz, 5 - 0",Regular,412,home,3767,5,away,3777,0
Played,29,181189,2018-03-09 19:45:00,19830,Stade de la Meinau,2500974,"Strasbourg - Monaco, 1 - 3",Regular,412,home,3779,1,away,19830,3
Played,28,181189,2018-03-04 20:00:00,0,Stade V\u00e9lodrome,2500959,"Olympique Marseille - Nantes, 1 - 1",Regular,412,home,3771,1,away,3770,1
Played,28,181189,2018-03-04 16:00:00,0,Stade de la Mosson,2500962,"Montpellier - Olympique Lyonnais, 1 - 1",Regular,412,away,3766,1,home,3787,1
Played,28,181189,2018-03-04 14:00:00,3783,Stade Michel d'Ornano,2500958,"Caen - Strasbourg, 2 - 0",Regular,412,home,3783,2,away,3779,0
Played,28,181189,2018-03-03 19:00:00,3774,Stade de la Licorne,2500956,"Amiens SC - Rennes, 0 - 2",Regular,412,home,3789,0,away,3774,2
Played,28,181189,2018-03-03 19:00:00,3799,Stade Raymond Kopa,2500957,"Angers SCO - Guingamp, 3 - 0",Regular,412,home,3799,3,away,3785,0
Played,28,181189,2018-03-03 19:00:00,0,Stade Saint-Symphorien,2500960,"Metz - Toulouse, 1 - 1",Regular,412,home,3777,1,away,3780,1
Played,28,181189,2018-03-03 19:00:00,0,Stade Geoffroy-Guichard,2500964,"Saint-\u00c9tienne - Dijon, 2 - 2",Regular,412,away,3804,2,home,3782,2
Played,28,181189,2018-03-03 16:00:00,3767,Stade de l'Aube,2500965,"Troyes - PSG, 0 - 2",Regular,412,away,3767,2,home,3795,0
Played,28,181189,2018-03-02 18:45:00,19830,Stade Louis II.,2500961,"Monaco - Bordeaux, 2 - 1",Regular,412,away,3772,1,home,19830,2
Played,28,181189,2018-03-02 18:00:00,3775,Allianz Riviera,2500963,"Nice - Lille, 2 - 1",Regular,412,home,3775,2,away,3776,1
Played,27,181189,2018-02-25 20:00:00,3767,Parc des Princes,2500952,"PSG - Olympique Marseille, 3 - 0",Regular,412,home,3767,3,away,3771,0
Played,27,181189,2018-02-25 16:00:00,0,Groupama Stadium,2500950,"Olympique Lyonnais - Saint-\u00c9tienne, 1 - 1",Regular,412,home,3766,1,away,3782,1
