currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
1637,1986,MID,8436,D. Edwards,10682
8518,1987,MID,9525,N. McGinn,10962
1610,1991,FWD,25707,E. Hazard,5629
9311,1986,FWD,26270,C. Ke\u0219er\u00fc,11944
-1,1980,FWD,8025,R. Keane,-1
4513,1989,MID,20596,G. Torje,11944
2444,1997,MID,258162,Renato Sanches,9905
8508,1986,DEF,61949,M. Lustig,7047
1619,1985,MID,61988,S. Davis,10962
8509,1987,FWD,62001,K. Lafferty,10962
1620,1987,GKP,62071,D. Randolph,8274
6718,1985,DEF,21275,A. Granqvist,7047
7735,1984,DEF,54451,B. S\u00e6varsson,7839
1610,1991,MID,31528,N. Kant\u00e9,4418
1623,1991,FWD,32636,C. Tosun,4687
1647,1986,DEF,8764,R. Keogh,8274
1644,1989,DEF,9403,C. Cathcart,10962
8510,1979,DEF,11135,A. Hughes,10962
2455,1992,DEF,65254,K. Wimmer,9109
690,1990,FWD,69610,D. \u010cop,-1
1646,1987,GKP,8301,J. Hart,-1
12804,1985,FWD,15291,L. Podolski,-1
1633,1988,DEF,21100,A. Ogbonna,-1
1611,1989,DEF,21095,M. Darmian,-1
7847,1981,FWD,20420,Z. Ibrahimovi\u0107,-1
7852,1985,FWD,7944,W. Rooney,-1
1609,1982,GKP,7882,P. \u010cech,-1
1610,1987,MID,3350,F\u00e0bregas,-1
16928,1986,MID,7988,Y. Cabaye,-1
1612,1986,MID,8319,J. Milner,-1
1612,1989,FWD,7907,D. Sturridge,-1
1623,1988,DEF,8240,S. Coleman,8274
1631,1986,DEF,14853,C. Fuchs,-1
1624,1989,MID,25804,M. Sissoko,4418
1612,1988,MID,8140,A. Lallana,-1
1634,1983,FWD,8752,J. Walters,-1
1619,1989,DEF,7885,R. Bertrand,-1
1609,1985,DEF,7855,L. Koscielny,-1
1627,1989,FWD,8686,H. Robson-Kanu,-1
1623,1990,MID,8624,J. McCarthy,-1
1628,1990,FWD,38031,C. Benteke,-1
1633,1992,MID,7873,J. Wilshere,-1
1610,1987,FWD,3360,Pedro,-1
1612,1991,DEF,8392,N. Clyne,-1
1625,1991,DEF,70085,E. Mangala,-1
