currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
2449,1997,MID,372915,A. Harit,16216
2444,1994,MID,209091,C. Tolisso,4418
692,1995,MID,241945,P. Sisto,7712
1625,1997,FWD,340386,Gabriel Jesus,6380
16468,1991,FWD,209354,F. Ben Youssef,16276
1631,1987,FWD,12829,J. Vardy,2413
2445,1996,DEF,340646,B. Pavard,4418
12811,1990,MID,95010,H. Yamaguchi,12913
3771,1995,MID,275243,S. Khaoui,16276
13887,1992,DEF,209792,B. Idowu,16823
1624,1994,MID,210044,E. Dier,2413
13895,1995,FWD,79006,S. Azmoun,10840
1624,1996,MID,13484,D. Alli,2413
12509,1990,FWD,79149,K. Ansarifard,10840
12509,1990,DEF,79248,E. Hajsafi,10840
1651,1993,FWD,79381,A. Jahanbakhsh,10840
2462,1989,MID,112253,M. Fabi\u00e1n,15473
682,1988,DEF,112366,M. Lay\u00fan,15473
1629,1991,FWD,112392,R. Jim\u00e9nez,15473
9606,1990,MID,112459,H. Herrera,15473
9608,1994,MID,243588,Bruno Fernandes,9905
9606,1993,FWD,112522,J. Corona,15473
13885,1989,MID,101953,A. Erokhin,14358
13885,1984,DEF,7891,B. Ivanovi\u0107,17322
12510,1993,MID,388928,Amr Warda,16129
2444,1986,GKP,14712,M. Neuer,3148
2444,1988,DEF,14716,J. Boateng,3148
675,1990,MID,14723,T. Kroos,3148
2502,1992,FWD,14730,T. Usami,12913
2445,1985,FWD,14731,M. G\u00f3mez,3148
2444,1989,FWD,14732,T. M\u00fcller,3148
1610,1993,DEF,14748,A. R\u00fcdiger,3148
2450,1991,DEF,14749,G. Sakai,12913
1631,1986,FWD,14763,S. Okazaki,12913
13887,1986,DEF,14771,V. \u0106orluka,9598
9130,1988,MID,14785,Renato Augusto,6380
2444,1988,DEF,14795,M. Hummels,3148
2447,1985,DEF,14798,\u0141. Piszczek,13869
2451,1985,MID,14804,J. B\u0142aszczykowski,13869
1625,1990,MID,14808,\u0130. G\u00fcndo\u011fan,3148
3161,1989,MID,14812,I. Peri\u0161i\u0107,9598
2447,1989,MID,14816,S. Kagawa,12913
2444,1988,FWD,14817,R. Lewandowski,13869
684,1988,MID,14836,T. Inui,12913
3767,1993,MID,14862,J. Draxler,3148
5656,1989,DEF,40707,F\u00e1gner,6380
13887,1984,FWD,14872,J. Farf\u00e1n,15594
1624,1992,FWD,14911,Son Heung-Min,14855
3157,1992,DEF,14922,R. Rodr\u00edguez,6697
2462,1984,MID,14929,M. Hasebe,12913
3159,1986,FWD,14943,M. Mand\u017euki\u0107,9598
2457,1991,FWD,15020,M. Leckie,8493
2447,1989,FWD,15024,M. Reus,3148
1639,1987,FWD,15054,M. Diouf,19314
12,1995,MID,139075,R. Tapia,15594
12,1991,FWD,15080,N. J\u00f8rgensen,7712
