currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
2463,1993,MID,15317,L. Bittencourt,-1
2460,1988,DEF,15399,D. Brosinski,-1
2453,1990,MID,15430,N. H\u00f6fler,-1
-1,1986,DEF,15449,M. Mavraj,-1
2455,1992,MID,15456,F. Klaus,-1
2453,1994,MID,15487,J. Haberer,-1
2453,1995,DEF,146569,M. Kempf,-1
2453,1990,FWD,15503,F. Niederlechner,-1
2446,1996,MID,146583,J. Brandt,3148
2453,1991,FWD,15533,M. Terrazzino,-1
2463,1991,FWD,15543,S. Zoller,-1
2481,1986,MID,15695,M. Heller,-1
2482,1989,DEF,15719,B. H\u00fcbner,-1
2443,1988,DEF,15771,S. Langkamp,-1
2455,1990,DEF,15772,M. Ostrzolek,-1
2451,1983,DEF,15775,P. Verhaegh,-1
2481,1984,MID,15777,D. Baier,-1
2481,1989,MID,15781,Ja-Cheol Koo,14855
2481,1989,MID,15782,J. Mor\u00e1vek,-1
2451,1992,GKP,15795,K. Casteels,5629
-1,1981,GKP,15797,T. Starke,-1
2445,1987,DEF,15798,A. Beck,-1
2454,1987,MID,15804,F. Johnson,8134
1619,1992,DEF,15806,J. Vestergaard,7712
2975,1988,MID,15810,D. Kaiser,-1
2444,1990,MID,15811,S. Rudy,3148
-1,1984,MID,15812,S. Salihovi\u0107,-1
2454,1990,MID,15813,T. Strobl,-1
2450,1988,FWD,15821,S. Schipplock,-1
2450,1990,FWD,15877,A. Hahn,-1
2975,1991,MID,15937,D. Demme,-1
2482,1991,MID,15942,L. Rupp,-1
2482,1990,DEF,15952,E. Bi\u010dak\u010di\u0107,-1
2446,1995,DEF,212604,T. Jedvaj,9598
2451,1995,DEF,343685,William,-1
2455,1985,GKP,16010,P. Tschauner,-1
2443,1988,FWD,16025,M. Kruse,-1
2443,1987,MID,16027,F. Bartels,-1
2463,1988,FWD,16094,S. Terodde,-1
2975,1990,MID,16110,K. Kampl,-1
2460,1989,MID,16303,D. Latza,-1
2446,1984,GKP,16411,R. \u00d6zcan,-1
2481,1988,MID,16432,Caiuby,-1
2446,1998,DEF,344178,P. Retsos,-1
2462,1991,MID,16609,D. Blum,-1
2443,1986,DEF,82340,T. Gebre Selassie,11555
2481,1994,MID,16826,R. Khedira,-1
2463,1993,DEF,16843,D. Heintz,-1
2455,1992,DEF,16884,J. Korb,-1
2482,1992,DEF,82487,P. Kade\u0159\u00e1bek,11555
2457,1990,MID,82518,V. Darida,11555
2454,1988,GKP,49855,Y. Sommer,6697
2462,1986,DEF,49856,D. Abraham,-1
6407,1989,MID,49869,F. Frei,-1
6407,1989,MID,49873,V. Stocker,-1
2975,1994,GKP,49883,Y. Mvogo,6697
2443,1988,MID,17136,J. Gondorf,-1
2454,1987,FWD,49907,R. Bobadilla,-1
2453,1996,DEF,344864,C. S\u00f6y\u00fcnc\u00fc,4687
2447,1990,GKP,49968,R. B\u00fcrki,6697
2453,1990,MID,49982,A. Abrashi,-1
2454,1992,FWD,50023,J. Drmic,6697
2482,1993,MID,221333,K. Demirbay,-1
2462,1998,MID,476054,M. \u0106avar,10007
2463,1995,MID,279734,V. Koziello,-1
2975,1997,FWD,279780,J. Augustin,-1
2455,1990,DEF,50800,Miiko Albornoz,-1
2460,1993,MID,51013,R. Quaison,-1
2460,1990,MID,83836,A. Maxim,-1
2447,1994,DEF,149389,J. Toljan,-1
2975,1991,MID,51132,E. Forsberg,7047
2443,1994,DEF,51217,L. Augustinsson,7047
2975,1994,DEF,18544,B. Schmitz,-1
2975,1991,DEF,18579,M. Halstenberg,-1
2455,1991,DEF,18581,F. H\u00fcbner,-1
2454,1992,MID,18591,J. Hofmann,-1
2463,1990,DEF,18669,J. Hector,3148
2453,1992,DEF,18670,L. K\u00fcbler,-1
2450,1992,GKP,18704,C. Mathenia,-1
2481,1993,FWD,18728,S. Parker,-1
2453,1992,GKP,19525,A. Schwolow,-1
2462,1993,FWD,51689,B. Hrgota,-1
2451,1993,DEF,18974,J. Brooks,-1
2482,1993,MID,18982,N. Schulz,-1
2447,1994,FWD,19392,M. Philipp,-1
2453,1993,DEF,216074,C. G\u00fcnter,-1
2449,1994,DEF,216077,A. Baba,-1
2445,1998,FWD,347366,J. Bruun Larsen,7719
2453,1991,DEF,19720,M. Gulde,-1
2444,1995,MID,134387,L. Goretzka,3148
2482,1995,DEF,134392,K. Akpoguma,-1
2482,1995,MID,134397,S. Gnabry,-1
2457,1995,FWD,134399,D. Selke,-1
2454,1997,MID,282194,L. B\u00e9nes,-1
2462,1987,MID,20402,K. Boateng,-1
2451,1991,MID,217052,R. Steffen,-1
2444,1987,MID,20475,A. Vidal,12381
